"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","MultiBank Trading Platform","0","Navigation & Layout","2","0","Navigation Item Visibility","0"
"0","MultiBank Trading Platform","0","Content Validation","1","0","Download Section","0"
"0","MultiBank Trading Platform","0","Trading Functionality","2","0","Trading Categories Switching","0"
"0","MultiBank Trading Platform","0","Navigation & Layout","5","3","Navigation Functionality","0"
"0","MultiBank Trading Platform","0","Content Validation","3","0","Marketing Banner Content","0"
"0","MultiBank Trading Platform","0","Content Validation","1","0","Marketing Banners Interaction","0"
"0","MultiBank Trading Platform","0","Navigation & Layout","1","0","Navigation Menu Items","0"
"0","MultiBank Trading Platform","0","Trading Functionality","1","0","Trading Pairs Table","0"
"0","MultiBank Trading Platform","0","Trading Functionality","3","0","Trading Categories","0"
"0","MultiBank Trading Platform","0","Content Validation","3","0","Download Links Validation","0"
"0","MultiBank Trading Platform","0","Content Validation","2","0","Download Links","0"
"0","MultiBank Trading Platform","0","Content Validation","0","1","About Us Content","0"
"0","MultiBank Trading Platform","0","Trading Functionality","0","1","Trading Pair Data","0"
"0","MultiBank Trading Platform","0","Trading Functionality","1","0","Table Structure","0"
"0","MultiBank Trading Platform","0","Trading Functionality","3","0","Market Indicators","0"
"0","Test Report Demo","1","Screenshot Capture on Failure","0","0","Failure Screenshot Verification","0"
"0","MultiBank Trading Platform","0","Trading Functionality","0","1","Trading Pairs Count","0"
"0","MultiBank Trading Platform","0","Trading Functionality","0","1","Trading Pairs Display","0"
"0","MultiBank Trading Platform","0","Content Validation","1","0","Marketing Banners","0"
"0","MultiBank Trading Platform","0","Content Validation","0","1","About Us Page Components","0"
"0","MultiBank Trading Platform","0","Content Validation","1","0","Footer Section","0"
"0","MultiBank Trading Platform","0","Trading Functionality","1","0","Quick Access Tools","0"
"0","MultiBank Trading Platform","0","Content Validation","1","0","Social Media Links","0"
"0","MultiBank Trading Platform","0","Trading Functionality","1","0","Spot Trading Section","0"
"0","MultiBank Trading Platform","0","Navigation & Layout","1","0","Navigation Menu Display","0"
"0","MultiBank Trading Platform","0","Content Validation","1","0","Page Rendering","0"
"0","MultiBank Trading Platform","0","Trading Functionality","1","0","Investment Opportunities","0"
"0","MultiBank Trading Platform","0","Content Validation","0","1","About Us Page","0"
"0","MultiBank Trading Platform","0","Content Validation","0","1","Why MultiBank Section","0"
