"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test verifies that each navigation item is visible on the page","33","Verify each navigation item is visible","Default Suite","Sat Dec 13 16:58:05 EET 2025","passed","Sat Dec 13 16:58:05 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testNavigationItemVisibility"
"Test verifies that QR code for app download is visible","16","Verify QR code is visible","Default Suite","Sat Dec 13 16:56:53 EET 2025","passed","Sat Dec 13 16:56:53 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testQRCodeVisible"
"Test verifies that clicking trading category tabs switches the view and loads category data","119","Verify trading tab functionality","Default Suite","Sat Dec 13 16:59:46 EET 2025","passed","Sat Dec 13 16:59:47 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingTabFunctionality"
"Test verifies that clicking navigation items navigates to correct pages and remains functional","101","Verify navigation items functionality and navigation","Default Suite","Sat Dec 13 16:58:26 EET 2025","passed","Sat Dec 13 16:58:26 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testAllNavigationItemsFunctionality"
"Test verifies that specific marketing banners are visible","1059","Verify specific marketing banner is visible","Default Suite","Sat Dec 13 16:57:06 EET 2025","passed","Sat Dec 13 16:57:07 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testSpecificMarketingBannerVisible"
"Test verifies that marketing banners are displayed with proper content","833","Verify marketing banners content and interaction","Default Suite","Sat Dec 13 16:57:52 EET 2025","passed","Sat Dec 13 16:57:53 EET 2025","com.automation.multibank.ContentValidationTests","automation-framework","com.automation.multibank.ContentValidationTests","testMarketingBannersContent"
"Test verifies that all expected navigation items are present in the top menu","46","Verify all expected navigation items are present","Default Suite","Sat Dec 13 16:58:00 EET 2025","passed","Sat Dec 13 16:58:01 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testNavigationMenuItems"
"Test verifies that each navigation item is visible on the page","32","Verify each navigation item is visible","Default Suite","Sat Dec 13 16:58:09 EET 2025","passed","Sat Dec 13 16:58:09 EET 2025","com.automation.multibank.NavigationTests","automation-framework","com.automation.multibank.NavigationTests","testNavigationItemVisibility"
"Test verifies that the trading pairs table is visible and accessible","33","Verify trading pairs table is displayed","Default Suite","Sat Dec 13 16:58:55 EET 2025","passed","Sat Dec 13 16:58:55 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingPairsTableDisplayed"
"Test verifies spot trading section displays trading pairs across different categories (Favorites vs All)","258","Verify trading pairs display across different categories","Default Suite","Sat Dec 13 16:59:54 EET 2025","passed","Sat Dec 13 16:59:55 EET 2025","com.automation.multibank.TradingTests","automation-framework","com.automation.multibank.TradingTests","testTradingPairsAcrossCategories"
